source_row,tweet,tweet_label,subjects,subjects_scored,keyword,label_norm,matched keyword,stance ,stance reason
1308020,Some global celebs deleted their tweets after ascertaining the truth about farmers’ protests in India. Realised it was imprudent to comment on matters unknown to them but here we have Mia Khalifa thanking Jagmeet Singh for food in exchange for spreading disinfo as if it’s a joke.,Pro Ruling,"['tweets', 'celebs', 'india']","[{'text': 'tweets', 'score': 0.3935}, {'text': 'celebs', 'score': 0.3191}, {'text': 'india', 'score': 0.2761}]",farmers protests,Pro Ruling,farmers protests,Against ,shows how global celebrities are slowly deleting tweets after learning truth about farmers protest. 
958736,"Now khaps also decide to strengthen #FarmersProtest sites at Delhi borders !
 
 One thing is clear that had @PMOIndia the faintest idea about the will power of farmers, about the resolve they r showing in their protests against #FarmLaws, the Govt would not have brought #FarmLaws ! https://t.co/gGQQPSIezk",Pro OPP,"['farmers', 'protests', 'borders']","[{'text': 'farmers', 'score': 0.4435}, {'text': 'protests', 'score': 0.2818}, {'text': 'borders', 'score': 0.1664}]",farmers protests,Pro Opp,farmers protests,For ,commends the willpower and resolve of farmers. 
1123111,"Ok. In that case, let the Modi Govt (especially the Home Ministry) respond to this RTI of mine &amp; state on record as to how they determined the presence of Khalistanis at farmers' protests &amp; what action has been taken.
 
 If not, the Union of India would stand guilty of perjury. https://t.co/LUrrJ08iNi https://t.co/VakLshSuuT",Pro OPP,"['india', 'guilty', 'protests']","[{'text': 'india', 'score': 0.4872}, {'text': 'guilty', 'score': 0.2178}, {'text': 'protests', 'score': 0.2099}]",farmers protests,Pro Opp,farmers protests,For ,asking Modi government to deliver evidence on the accusation that khalistanis are involved in farmers protest or else they would be held responsible for perjury. 
702364,"Malific Intent ! Centre’s untimely and adamant approach for implementation of direct payment to Farmers, scuttles APMC system ... Using every ploy to dismember the resilient socio-economic fabric of Punjab’s Agriculture which has organically evolved over decades #FarmersProtests",Pro OPP,"['agriculture', 'payment', 'protests']","[{'text': 'agriculture', 'score': 0.5067}, {'text': 'payment', 'score': 0.304}, {'text': 'protests', 'score': 0.2271}]",farmers protests,Pro Opp,farmers protests,For ,blames government. 
1306543,"The govt shut off electricity from farmers protest sites last night. It is like a military siege, blocking access routes to farmers protest sites, shutting off internet! Then sending 1000s of armed policemen, para military &amp; hundreds of stone throwing BJP goons to evict farmers! https://t.co/HuvIDlp7ev",Pro OPP,"['electricity', 'farmers', 'protest']","[{'text': 'electricity', 'score': 0.421}, {'text': 'farmers', 'score': 0.362}, {'text': 'protest', 'score': 0.2951}]",farmers protests,Pro Opp,farmers protests,For ,shows government's brutal response to farmers protesting. 
36967,Farmers protests are our last line of defence against Corporate takeover of India’s Food Systems... Govt giving baseless arguments that Farmers who gave India Food Security over generations of hard labour are misguided about there own occupation. Justifying a fault doubles it up! https://t.co/VUfKclhlDC,Pro OPP,"['farmers', 'protests', 'last']","[{'text': 'farmers', 'score': 0.5253}, {'text': 'protests', 'score': 0.3091}, {'text': 'last', 'score': 0.2237}]",farmers protests,Pro Opp,farmers protests,For ,claims that farmers protest is the last line of defence over a corporate takeover. 
112400,Chulhas have started coming on National Highways ! #FarmersProtests #FarmLaws https://t.co/bRWqkfs6qa,Pro OPP,"['farmers', 'highways', 'protests']","[{'text': 'farmers', 'score': 0.4107}, {'text': 'highways', 'score': 0.3991}, {'text': 'protests', 'score': 0.2438}]",farmers protests,Pro Opp,farmers protests,neutral ,no stance taken. 
60714,"Karnal, Sonipat, Panipat, Ambala, Kaithal, Gurgaon Toll plazas made toll free ! #FarmersProtests #FarmLaws",Pro OPP,"['farmers', 'toll', 'protests']","[{'text': 'farmers', 'score': 0.4999}, {'text': 'toll', 'score': 0.3425}, {'text': 'protests', 'score': 0.2594}]",farmers protests,Pro Opp,farmers protests,neutral ,no stance taken. 
956457,"A year after EAM Jaishankar boycotted an HFAC meeting because of comments on J&amp;K that constituted external ""interference"", Indian Ambassador to US discusses Indias ""internal issues"" like farmers protests with the House India Caucus. Sign of the times changing. https://t.co/Sep2jrCIL2",Pro OPP,"['ambassador', 'indian', 'boycotted']","[{'text': 'ambassador', 'score': 0.4255}, {'text': 'indian', 'score': 0.3894}, {'text': 'boycotted', 'score': 0.2167}]",farmers protests,Pro Opp,farmers protests,For ,shows government stance changing based on their feasibility. 
959609,"Just another Friday at Tikri Border's
 #FarmersProtest site. Cloudy weather. https://t.co/Zn45MTxENq",Pro OPP,"['protest', 'cloudy', 'farmers']","[{'text': 'protest', 'score': 0.565}, {'text': 'cloudy', 'score': 0.4246}, {'text': 'farmers', 'score': 0.3736}]",farmers protests,Pro Opp,farmers protests,neutral ,no stance taken. 
518309,Farmers' protests have increased by 700% since Modi govt has come to power. Who is voting for BJP then?,Pro OPP,"['protests', 'farmers', 'increased']","[{'text': 'protests', 'score': 0.4184}, {'text': 'farmers', 'score': 0.4147}, {'text': 'increased', 'score': 0.3745}]",farmers protests,Pro Opp,farmers protests,For ,blames Modi government. 
133314,"#Verified #Breaking
 
 👉Farmers to boycott all Jio/Reliance/Adani products- from stores to toll plaza to mobile sims
 
 👉Jaipur-Highway to be blocked till December 12th
 
 👉New slogan of #FarmersProtest- 'Sarkaar ki Asli Majboori - Adani, Ambani, Jamakhori'",Pro OPP,"['boycott', 'farmers', 'breaking']","[{'text': 'boycott', 'score': 0.4493}, {'text': 'farmers', 'score': 0.4121}, {'text': 'breaking', 'score': 0.1648}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1143275,"200 women protesters leaving for Kisan Parliament at Jantar Mantar #Delhi ! #FarmersProtest 
 
 P.S-This is for those bozzos, bhakts, Sarkari spin doctors, Godi Media who claim that women protesters, have left #FarmersProtest sites, that women are not treated equally. https://t.co/ppPab3g8q0",Pro OPP,"['protesters', 'women', 'farmers']","[{'text': 'protesters', 'score': 0.5155}, {'text': 'women', 'score': 0.4453}, {'text': 'farmers', 'score': 0.2563}]",farmers protests,Pro Opp,farmers protests,For ,shows women's support and involvement in farmers protest. 
1637245,"Yes, now world is watching .. 
 #PMO #NarendraModi
 #FarmersProtests https://t.co/yLFL3jbAj6",Pro OPP,"['farmers', 'protests', 'pmo']","[{'text': 'farmers', 'score': 0.4722}, {'text': 'protests', 'score': 0.4529}, {'text': 'pmo', 'score': 0.1734}]",farmers protests,Pro Opp,farmers protests,For ,claims that world is watching India's government. 
1393658,"Ranga-Billa is just waiting for farmers to get violent
 
 Media is already given full script with graphics
 
 #FarmersProtests",Pro OPP,"['farmers', 'media', 'script']","[{'text': 'farmers', 'score': 0.3364}, {'text': 'media', 'score': 0.308}, {'text': 'script', 'score': 0.193}]",farmers protests,Pro Opp,farmers protests,For ,blames media bias against farmers. 
257885,"#FarmersProtests | As the agitating farmers continued their sit-in on the Delhi-Jaipur highway, Rajasthan Chief Minister #AshokGehlot on Monday condemned the statements of the #BJP leaders decrying their protest. 
 https://t.co/QFuwZUNl1x",Pro OPP,"['farmers', 'protests', 'ashok']","[{'text': 'farmers', 'score': 0.5005}, {'text': 'protests', 'score': 0.4602}, {'text': 'ashok', 'score': 0.1845}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
601485,"Sonipat Mayoral Election Result 2020
 
 INC 72118 Votes
 BJP 58300 Votes
 
 Since their masters lost at the epicenter of Farmers Protests, there is a pin drop silence in Godi Media.
 
 #FarmersAppealTotalRepeal",Pro OPP,"['election', 'farmers', 'silence']","[{'text': 'election', 'score': 0.4342}, {'text': 'farmers', 'score': 0.3904}, {'text': 'silence', 'score': 0.1756}]",farmers protests,Pro Opp,farmers protests,For ,"calls out media for ""sitting in government's lap"". "
743442,"Good speech in support of farmers protests, questioning government on Chinese incursions &amp; Kashmir encounters etc https://t.co/sGycHzDi5Y",Pro OPP,"['speech', 'chinese', 'farmers']","[{'text': 'speech', 'score': 0.5173}, {'text': 'chinese', 'score': 0.3974}, {'text': 'farmers', 'score': 0.325}]",farmers protests,Pro Opp,farmers protests,For ,claims speeches at farmers protest make good points while questioning government choices. 
934703,#SamyuktaKisanMorcha members claim that #DeepSidhu and his band were all along working at cross purposes from them and did not follow their commonly agreed upon decisions #FarmersProtests https://t.co/4vK4Dzz9ZH,Pro OPP,"['band', 'farmers', 'cross']","[{'text': 'band', 'score': 0.3724}, {'text': 'farmers', 'score': 0.3144}, {'text': 'cross', 'score': 0.1903}]",farmers protests,Pro Opp,farmers protests,For ,shows that there were some outliers in farmers protest but that doesnt mean the entire protest is aligned like that. 
1330232,"My lung power doesn’t permit a #FarmersProtests support video but my heart goes out to our brave Annadata, who have persevered in peace &amp; solidarity against a deaf, inhumane @PMOIndia who has merely occupied himself with efforts to discredit their demands #किसान_के_लिए_बोले_भारत https://t.co/0CDQMRfcKT",Pro OPP,"['protests', 'farmers', 'deaf']","[{'text': 'protests', 'score': 0.4431}, {'text': 'farmers', 'score': 0.3422}, {'text': 'deaf', 'score': 0.1913}]",farmers protests,Pro Opp,farmers protests,For ,calls modi government deaf and inhumane. sympathises with protesters. 
948158,Watch &amp; listen: A beautiful requiem for the farmers protests https://t.co/Uw828GhuXi,Pro OPP,"['protests', 'farmers', 'watch']","[{'text': 'protests', 'score': 0.5292}, {'text': 'farmers', 'score': 0.5289}, {'text': 'watch', 'score': 0.3705}]",farmers protests,Pro Opp,farmers protests,For ,"""beautiful requiem"""
363073,"Protesting farmers announce that they will boycott the Jio products including Jio Sims and phones..
 
 New slogan of #FarmersProtest- 'Sarkaar ki Asli Majboori - Adani, Ambani, Jamakhori'
  #BoycottAmbaniAdani",Pro OPP,"['farmers', 'boycott', 'phones']","[{'text': 'farmers', 'score': 0.4114}, {'text': 'boycott', 'score': 0.4}, {'text': 'phones', 'score': 0.0719}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
450714,"What if they can't be here physically ! My Sisters My Strength - The Daughters of Haryana Sent Blankets For their brothers &amp; Sisters at Tikri Border
 
 Dear Shaktis,
 We are Proud of you 🙇
 
 #FarmersProtests https://t.co/ZWcbtzI5cB",Pro OPP,"['haryana', 'sisters', 'protests']","[{'text': 'haryana', 'score': 0.392}, {'text': 'sisters', 'score': 0.375}, {'text': 'protests', 'score': 0.3219}]",farmers protests,Pro Opp,farmers protests,For ,shows how women members are proud of their male farmer counterparts for conducting the protest. 
1393901,"Something that the mainstream media will never show us! 
 #FarmersProtests https://t.co/af6pTgbXWQ",Pro OPP,"['farmers', 'protests', 'never']","[{'text': 'farmers', 'score': 0.5428}, {'text': 'protests', 'score': 0.5105}, {'text': 'never', 'score': 0.1399}]",farmers protests,Pro Opp,farmers protests,For ,shows media bias against farmers. 
1284235,"During ongoing #FarmersProtests
 I still remember @KamalaHarris said in October 2019, “We have to remind the Kashmiris that they are not alone in the world. We are keeping a track on the situation. There is a need to intervene if the situation demands.”",Pro OPP,"['farmers', 'protests', 'kashmiris']","[{'text': 'farmers', 'score': 0.3332}, {'text': 'protests', 'score': 0.3184}, {'text': 'kashmiris', 'score': 0.2787}]",farmers protests,Pro Opp,farmers protests,neutral ,no stance taken. 
450701,"Today at Tikri we had water botels shortage 
 
 So you are donating send water bottle packages !
 Avoid Bananas Please It's cold 🙏
 
 #FarmersProtests",Pro OPP,"['bottle', 'protests', 'farmers']","[{'text': 'bottle', 'score': 0.4318}, {'text': 'protests', 'score': 0.3149}, {'text': 'farmers', 'score': 0.2958}]",farmers protests,Pro Opp,farmers protests,For ,requesting water bottles for farmers. 
413557,"He is a farmer from Chandwad, 60 km from Nashik. 
 He says during pandemic it was agriculture that helped GDP to an extent when rest of the companies had shut down! So why kill agriculture? 
 
 Oh yes, he is aware and educated about surroundings
 
 #FarmersProtests #Maharashtra https://t.co/I9D52jHZDl",Pro OPP,"['farmer', 'chandwad', 'pandemic']","[{'text': 'farmer', 'score': 0.5322}, {'text': 'chandwad', 'score': 0.3207}, {'text': 'pandemic', 'score': 0.2421}]",farmers protests,Pro Opp,farmers protests,For ,"shows farmers saved india during covid, also calls them aware and educated. "
2772402,"Former Twitter CEO @Jack Dorsey in an interview to @esaagar @krystalball on Breaking Points says, 
 “India for example, India is one of the country which had many requests around farmers protests, around particular journalists which were critical of the government, and manifest in… https://t.co/EteNBAKYrO https://t.co/zD7ZCf7m96",Pro OPP,"['india', 'protests', 'jack']","[{'text': 'india', 'score': 0.5963}, {'text': 'protests', 'score': 0.3461}, {'text': 'jack', 'score': 0.0068}]",farmers protests,Pro Opp,farmers protests,For ,shows foreign speculation on Indian Government handling of farmers protest. 
1388213,Farmers arriving in Delhi for the tractor parade receive a rousing reception. #FarmersProtests https://t.co/RcofTV6HCq,Pro OPP,"['farmers', 'protests', 'arriving']","[{'text': 'farmers', 'score': 0.5807}, {'text': 'protests', 'score': 0.4021}, {'text': 'arriving', 'score': 0.2686}]",farmers protests,Pro Opp,farmers protests,For ,"""receive rousing reception"" "
2855725,"Former Twitter CEO @Jack Dorsey in an interview to @esaagar @krystalball on Breaking Points talks about Worlds Largest Democracy, 
 “India for example, India is one of the country which had many requests around farmers protests, around particular journalists which were critical of… https://t.co/NRNZa5Wt0S https://t.co/unF6dVmv0O",Pro OPP,"['india', 'protests', 'jack']","[{'text': 'india', 'score': 0.5605}, {'text': 'protests', 'score': 0.3431}, {'text': 'jack', 'score': 0.0515}]",farmers protests,Pro Opp,farmers protests,For ,shows foreign speculation on Indian Government handling of farmers protest. 
727115,"#Verified
 
 👉Samyukt Kisan Morcha (SKM) CONFIRMS- #FarmersProtest will continue
 
 👉SKM is the ONLY AUTHORIZED body on #FarmersProtest
 
 👉SKM- We have nothing to do with what happened in Supreme Court
 
 👉SKM- Our talks are with government which will happen next on January 15th",Pro OPP,"['protest', 'farmers', 'skm']","[{'text': 'protest', 'score': 0.4268}, {'text': 'farmers', 'score': 0.3193}, {'text': 'skm', 'score': 0.2964}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1605093,"Indian National Congress are strongly rallying behind the farmers of the nation!
 
 Modi &amp; Co are trying to sell farming sector also to AA &amp; at any cost @INCIndia will not allow that!
 
 We are committed to support farmers of our nation ☝🏼
 
 #IndiaSupportsChakkaJaam 
 #FarmersProtests",Pro OPP,"['farmers', 'congress', 'rallying']","[{'text': 'farmers', 'score': 0.4957}, {'text': 'congress', 'score': 0.4302}, {'text': 'rallying', 'score': 0.3615}]",farmers protests,Pro Opp,farmers protests,For ,"blames modi government, shows farmers being supported by congress. "
1338739,"Protesters at the Singhu border observe 'Black Day' as they complete six months of agitation against farm laws
 
 #FarmersProtests 
 
 (ANI) https://t.co/5JPARzkj0M",Pro OPP,"['protesters', 'black', 'farm']","[{'text': 'protesters', 'score': 0.4891}, {'text': 'black', 'score': 0.4084}, {'text': 'farm', 'score': 0.1826}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1376472,Farmers arriving in Delhi for the tractor parade receive a rousing reception. #FarmersProtests https://t.co/RcofTV6HCq,Pro OPP,"['farmers', 'protests', 'arriving']","[{'text': 'farmers', 'score': 0.5807}, {'text': 'protests', 'score': 0.4021}, {'text': 'arriving', 'score': 0.2686}]",farmers protests,Pro Opp,farmers protests,For ,"""receive rousing reception"" "
2045754,"Solid speech by @RahulGandhi in LS yesterday..Raised plight of Unorganised sector, Unemployment, students protests, need to respect India’s diversity, Farmers protests,
 totalitarian attitude of govt. , the erosion of institutions of the state, Pegasus &amp; National security..
 👏🏽👏🏽👏🏽",Pro OPP,"['rahulgandhi', 'speech', 'unemployment']","[{'text': 'rahulgandhi', 'score': 0.6019}, {'text': 'speech', 'score': 0.4558}, {'text': 'unemployment', 'score': 0.2361}]",farmers protests,Pro Opp,farmers protests,For ,accuses government of being totalitarian. 
1340976,"#Verified #Breaking
 
 👉Samyukt Kisan Morcha tells me that 228 protestors have died so far in
 #FarmersProtest
 
 👉Samyukt Kisan Morcha is the only body authorized to make official statements on #FarmersProtest",Pro OPP,"['protestors', 'farmers', 'died']","[{'text': 'protestors', 'score': 0.5227}, {'text': 'farmers', 'score': 0.3975}, {'text': 'died', 'score': 0.3483}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
182156,"Despite reporters at protest site, Godi media showed PM Modi's Varanasi visit UNINTERRUPTED full day.
 
 If one only watches TV, it would appear #FarmersProtests is over.
 
 It's clearer now that corporate-media is anti-poor/farmer. That's the nature of anything run by corporates.",Pro OPP,"['farmers', 'media', 'protests']","[{'text': 'farmers', 'score': 0.3933}, {'text': 'media', 'score': 0.3476}, {'text': 'protests', 'score': 0.2958}]",farmers protests,Pro Opp,farmers protests,For ,accuses media of being biased towards government and being anti-poor and anti-farmer. 
1125807,"This is a Teaser/Promo of '124a', a Documentary Film based on the ongoing Farmers Protests in India. The voice in the background is the speech of Sir Charlie Chaplin (As Hynkel) from his historic movie The Great Dictator (1940). 
 Link : https://t.co/QJPgvn3WeM https://t.co/Vgp7iWuAlw",Pro OPP,"['speech', 'india', '124a']","[{'text': 'speech', 'score': 0.4388}, {'text': 'india', 'score': 0.3449}, {'text': '124a', 'score': 0.3257}]",farmers protests,Pro Opp,farmers protests,For ,subtly shows how farmers are protesting against a dictatorship. 
811806,"#FarmersProtest
 
 Sunday, Singhu, Spines. https://t.co/RJoQhGqfbJ",Pro OPP,"['farmers', 'protest', 'spines']","[{'text': 'farmers', 'score': 0.5855}, {'text': 'protest', 'score': 0.5829}, {'text': 'spines', 'score': 0.1901}]",farmers protests,Pro Opp,farmers protests,For ,"shows the strength of farmers through the word ""spines"" "
452174,"""The more you bully a Punjabi, the more angry (s)he gets. This is now about Fakr, Pride""- I am in rural Punjab to understand the sentiment driving #FarmersProtests. ""Yeh Kisan Ki ladai nahin, Insan Ki Ladai hai""- More reports @themojo_in #PunjabDiaries https://t.co/aQ0UMMwwsw https://t.co/pdDBWNGOCw",Pro OPP,"['punjabi', 'protests', 'themojo_in']","[{'text': 'punjabi', 'score': 0.5962}, {'text': 'protests', 'score': 0.456}, {'text': 'themojo_in', 'score': 0.2338}]",farmers protests,Pro Opp,farmers protests,For ,shows how farmers are reclaiming their rights and pride and will not tolerate the government bullying them. 
325731,"No foreign country Canada or any other, or leader Trudeau or others 
 have a right to comment on our domestic issues! 
 But the rule was broken by our Hon'ble PM shri #NarendraModi ji when he campaiged for President Trump saying ""Ab ki baar Trump Sarkar"" ..
 #FarmersProtests",Pro OPP,"['canada', 'farmers', 'trump']","[{'text': 'canada', 'score': 0.4398}, {'text': 'farmers', 'score': 0.3758}, {'text': 'trump', 'score': 0.255}]",farmers protests,Pro Opp,farmers protests,For ,portrays modi as hypocritical. 
1603515,"BREAKING: Congress raises the pitch over Farmers Protests in UP. Priyanka Gandhi to go to Saharanpur tomorrow, will be attending a Kisan Mahapanchayat.",Pro OPP,"['congress', 'saharanpur', 'raises']","[{'text': 'congress', 'score': 0.435}, {'text': 'saharanpur', 'score': 0.3919}, {'text': 'raises', 'score': 0.2077}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1446152,"The bench disappears from the VC session.
 
 AG : Are they going to post it tomorrow?
 
 Dave : I don't know. I think they are passing some orders.
 
 #FarmersProtests 
 #FarmLaws
 #SupremeCourt",Pro OPP,"['bench', 'farmers', 'protests']","[{'text': 'bench', 'score': 0.3784}, {'text': 'farmers', 'score': 0.3176}, {'text': 'protests', 'score': 0.2068}]",farmers protests,Pro Opp,farmers protests,For ,shows absurdity of government. 
1588744,@DDNewslive @narendramodi Grandstanding a celebration of #chaurichauramahotsav a struggle in which BJP-RSS played no part is hypocrisy at it’s pinnacle. Try instead @PMOIndia to stop playing “Chupa Chupi” with the #FarmersProtests &amp; #RepealThreeFarmActs now. Gross inhumanity &amp; callous disregard must stop,Pro OPP,"['narendramodi', 'hypocrisy', 'gross']","[{'text': 'narendramodi', 'score': 0.5556}, {'text': 'hypocrisy', 'score': 0.3163}, {'text': 'gross', 'score': 0.1603}]",farmers protests,Pro Opp,farmers protests,For ,"shows how government doesnt reveal all information about farmers protest and instead plays ""chupa chupi"". ""gross inhumanity"". "
412789,@nstomar You heartless man. Stop with all the lies and false propaganda against the #FarmersProtests The life of #SantBabaRamSingh is on your government’s callous hands. Repeal the #FarmBills2020 @narendramodi @AmitShah https://t.co/JDasnSNNqc,Pro OPP,"['narendramodi', 'protests', 'heartless']","[{'text': 'narendramodi', 'score': 0.507}, {'text': 'protests', 'score': 0.2794}, {'text': 'heartless', 'score': 0.2761}]",farmers protests,Pro Opp,farmers protests,For ,calling a man heartless for spreading lies and false propoganda against farmers protest. 
1306741,"In Dec, @PiyushGoyal claimed that farmers' protests at Singhu are being controlled by Maoists. 
 
 Ergo, I filed an RTI with Home Ministry to confirm his statement.
 
 MHA says the record for Maoists controlling the protests is ""NIL"". 
 
 Detective Goyal has no shame in lying publicly. https://t.co/Wj0Z7ZB3aX",Pro OPP,"['maoists', 'farmers', 'record']","[{'text': 'maoists', 'score': 0.6525}, {'text': 'farmers', 'score': 0.3418}, {'text': 'record', 'score': 0.0152}]",farmers protests,Pro Opp,farmers protests,For ,shows that maoists are not controlling the farmers protest and that it is false propoganda by govt. 
846426,"Hey @Jack pls add a Twitter emoji to the massive #FarmersProtests in India -- like you did for historic international protests like #BlackLivesMatter 
 
 May be 🚜 🏹",Pro OPP,"['twitter', 'farmers', 'india']","[{'text': 'twitter', 'score': 0.4923}, {'text': 'farmers', 'score': 0.4067}, {'text': 'india', 'score': 0.2772}]",farmers protests,Pro Opp,farmers protests,For ,requesting international recognition of farmers protest. 
1440209,"Kisan Sansad' begins at Jantar Mantar. 
 
 The Delhi government and police had yesterday agreed to let farmers hold the Kisan Sansad from today till August 9 between 11am and 5pm.
 
 #FarmersProtests https://t.co/lpr6gjnMKB",Pro OPP,"['kisan', 'farmers', 'protests']","[{'text': 'kisan', 'score': 0.4432}, {'text': 'farmers', 'score': 0.361}, {'text': 'protests', 'score': 0.1882}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1530513,"#Verified
 
 👉#FarmersProtest set to intensify in March
 
 👉Samyukt Kisan Morcha along with local unions announces March's Mahapanchayats
 
 👉Many Mahapanchayats pan India with special focus on Madhya Pradesh, Karnataka, Telangana,West Bengal &amp; Odisha
 
 👉Feb was about UP &amp; Rajasthan",Pro OPP,"['mahapanchayats', 'protest', 'intensify']","[{'text': 'mahapanchayats', 'score': 0.4856}, {'text': 'protest', 'score': 0.4439}, {'text': 'intensify', 'score': 0.2686}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1565206,"I have received report that 76 farmers have passed away during the protest against three farm laws. Today, I announce that we'll provide govt job to one family member of those from Punjab who die in agitation at Delhi borders: #PunjabCM @capt_amarinder
 
 #FarmersProtests https://t.co/QiRwmSz4xP",Pro OPP,"['farmers', 'protests', 'passed']","[{'text': 'farmers', 'score': 0.5984}, {'text': 'protests', 'score': 0.254}, {'text': 'passed', 'score': 0.1967}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1019002,"You cut off internet for farmers protests, but for provocative TV content you do nothing: Supreme Court to Central government https://t.co/EbsteIn3Ld",Pro OPP,"['protests', 'tv', 'farmers']","[{'text': 'protests', 'score': 0.3928}, {'text': 'tv', 'score': 0.3236}, {'text': 'farmers', 'score': 0.2085}]",farmers protests,Pro Opp,farmers protests,For ,shows supreme court condemning government actions regarding farmers protest. 
2798697,Shameful by @PMOIndia threats to raid homes of Twitter officials if “farmers protests” &amp; “critical journalists” were not censored https://t.co/7esRcNlHNG,Pro OPP,"['threats', 'journalists', 'farmers']","[{'text': 'threats', 'score': 0.4963}, {'text': 'journalists', 'score': 0.382}, {'text': 'farmers', 'score': 0.1989}]",farmers protests,Pro Opp,farmers protests,For ,calls modi shameful. 
1019391,"In an attempt to keep the narrative alive that the farmers' protests have a 'Muslim agenda', a photo of Muslim women showing solidarity with farmers at Tikri border has been shared with the claim that the movement has been 'hijacked'. | @HereisKinjal 
 
 https://t.co/VIccqQzABb",Pro OPP,"['muslim', 'protests', 'farmers']","[{'text': 'muslim', 'score': 0.5289}, {'text': 'protests', 'score': 0.4951}, {'text': 'farmers', 'score': 0.4453}]",farmers protests,Pro Opp,farmers protests,For ,claims there is a fake narrative that farmers protest is a muslim agenda. 
691374,"For those, who say #FarmersProtests are only from Punjab and Haryana, this is Rajasthan! https://t.co/Z8v9q3vp0F",Pro OPP,"['haryana', 'farmers', 'protests']","[{'text': 'haryana', 'score': 0.5489}, {'text': 'farmers', 'score': 0.4733}, {'text': 'protests', 'score': 0.402}]",farmers protests,Pro Opp,farmers protests,For ,shows how farmers protest is not just limited to punjab and haryana but spreading across india. 
1299670,"“women like Kaur, long used to having their contributions to farming overlooked as part of their household duties” stand steadfast at #FarmersProtests “the biggest in human history—has prompted thousands to make their voices heard” #InternationalWomensDay https://t.co/KjPFVJgaf7",Pro OPP,"['womens', 'farmers', 'protests']","[{'text': 'womens', 'score': 0.4585}, {'text': 'farmers', 'score': 0.4239}, {'text': 'protests', 'score': 0.3798}]",farmers protests,Pro Opp,farmers protests,For ,shows women's support and involvement in farmers protest. 
1254302,"This is a Teaser/Promo of '124a', a Documentary Film based on the ongoing Farmers Protests in India. The voice in the background is the speech of Sir Charlie Chaplin (As Hynkel) from his historic movie The Great Dictator (1940). 
 Link : https://t.co/QJPgvn3WeM https://t.co/Vgp7iWuAlw",Pro OPP,"['speech', 'india', '124a']","[{'text': 'speech', 'score': 0.4388}, {'text': 'india', 'score': 0.3449}, {'text': '124a', 'score': 0.3257}]",farmers protests,Pro Opp,farmers protests,For ,subtly shows how farmers are protesting against a dictatorship. 
1048001,"A meeting between #Farmers and Police is underway at #Singhuborder 
 #FarmersProtests #FarmLaws
 https://t.co/pfyXopfl2p",Pro OPP,"['farmers', 'protests', 'police']","[{'text': 'farmers', 'score': 0.5025}, {'text': 'protests', 'score': 0.278}, {'text': 'police', 'score': 0.1689}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
581930,"Emerging from the meeting, #RahulGandhi said, “We met the #President and informed him of our view regarding the three #farmlaws. We informed the President that it is critical that they are taken back”. #Opposition #FarmersProtest #SitaramYechury https://t.co/RjEy8frPee",Pro OPP,"['farmers', 'protest', 'back']","[{'text': 'farmers', 'score': 0.4752}, {'text': 'protest', 'score': 0.3529}, {'text': 'back', 'score': 0.2446}]",farmers protests,Pro Opp,farmers protests,For ,shows congress supporting farmers protest. 
855864,"My take on the rather misleading article by @sdhume in WSJ on the farmers protests.
 
 https://t.co/EiDClfgDm3 https://t.co/am6Kxnm6gN",Pro OPP,"['protests', 'farmers', 'misleading']","[{'text': 'protests', 'score': 0.4839}, {'text': 'farmers', 'score': 0.4369}, {'text': 'misleading', 'score': 0.3499}]",farmers protests,Pro Opp,farmers protests,For ,calls article on farmers protest misleading. 
601464,"Protesters agitating against the new #FarmLaws run a tractor over a police barricade in #Bajpur, of the Udham Singh Nagar district in Uttarakhand 
 #FarmersProtests
 
 https://t.co/Ayr8AxgZ2Z",Pro OPP,"['protesters', 'tractor', 'run']","[{'text': 'protesters', 'score': 0.5169}, {'text': 'tractor', 'score': 0.5143}, {'text': 'run', 'score': 0.2916}]",farmers protests,Pro Opp,farmers protests,neutral ,"no stance taken, only news delivered. "
1789563,"In one month, our govt has issued statements on events in US (capitol riots), Sri Lanka (devolution), Pakistan (Temple attack) etc..., and also told half a dozen countries they have no right to comment on Indian ""internal matters"" (farmers protests, CAA,J&amp;K etc).",Pro OPP,"['govt', 'indian', 'protests']","[{'text': 'govt', 'score': 0.4187}, {'text': 'indian', 'score': 0.3912}, {'text': 'protests', 'score': 0.359}]",farmers protests,Pro Opp,farmers protests,For ,calls out government hypocricy. 
